english,transliteration,arabic,source
art,fann,فن,education
arts,funuun,فنون,education
science,3ilm,علم,education
sciences,3uluum,علوم,education
language,luġa,لغة,education
languages,luġaat,لغات,education
grammar,qawaa3id,قواعد,education
vocabulary,mufradaat,مفردات,education
synonym,muraadif,مرادف,education
synonyms,muraadifaat,مرادفات,education
spelling,tahji'a,تهجئة,education
pronunciation,lafZ,لفظ,education
pronunciations,alfaaZ,ألفاظ,education
style ,usluub,أسلوب,education
fluency,Talaaqa,طلاقة,education
proficiency,kafaa'a,كفاءة,education
skill,mahaara,مهارة,education
skills,mahaaraat,مهارات,education
ability,qudra,قدرة,education
abilities,qudaraat,قدرات,education
feeling,ša3r,شعر,emotions__and__personality_traits
feelings,šu3uur,شعور,emotions__and__personality_traits
emotion,3aaTif,عاطف,emotions__and__personality_traits
emotions,3awaaTif,عواطف,emotions__and__personality_traits
emotional or sentimental,3aaTifi,عاطفي,emotions__and__personality_traits
to hide or repress one's feelings,katam - yiktim  fi nafsu,كتم - يكتم  في نفسه,emotions__and__personality_traits
passion,3išq,عشق,emotions__and__personality_traits
love,Hubb,حبّ,emotions__and__personality_traits
hate,karaahiyya,كراهية,emotions__and__personality_traits
yearning,Haniin,حنين,emotions__and__personality_traits
longing,šooq,شوق,emotions__and__personality_traits
despair,ya's,يأس,emotions__and__personality_traits
bitterness,maraara,مرارة,emotions__and__personality_traits
tear,dam3,دمع,emotions__and__personality_traits
tears,dumuu3,دموع,emotions__and__personality_traits
smiling ,bašuuš,بشوش,emotions__and__personality_traits
frowning ,mikaššar,مكشّر,emotions__and__personality_traits
to bellow at,ga3ar - yig3ar  fi,جعر - يجعر  في,emotions__and__personality_traits
to yell at,šaxaT - yušxoT  fi,شخط - يشخط  في,emotions__and__personality_traits
to belittle,hazza' - yihazza' ,هزّأ - يهزّأ ,emotions__and__personality_traits
to speak rudely to s.o.,baggaH - yibaggaH  fi,بجّح - يبجّح  في,emotions__and__personality_traits
to to break off relations with s.o. because of a dispute,xaaSim - yixaaSim ,خاصم - يخاصم ,emotions__and__personality_traits
a public disgrace,jursa,جرسة,emotions__and__personality_traits
a public disgraces,juras,جرس,emotions__and__personality_traits
to spread scandal/gossip maliciously,namm - yinimm ,نم - ينم ,emotions__and__personality_traits
scandal-monger,nammaam,نمام,emotions__and__personality_traits
to excuse and sympathize with,3azar - yi3zur ,عزر - يعزر ,emotions__and__personality_traits
 kiss,qubla,قبلة,emotions__and__personality_traits
 kisses,qubalaat,قبلات,emotions__and__personality_traits
 sigh,tanhiida,تنهيدة,emotions__and__personality_traits
 sighs,tanaahiid,تناهيد,emotions__and__personality_traits
personality,šaxSiyya,شخصية,emotions__and__personality_traits
personalities,šaxSiyyaat,شخصيات,emotions__and__personality_traits
happy ,sa3iid,سعيد,emotions__and__personality_traits
happy s,su3adaa' ,سعداء ,emotions__and__personality_traits
glad,farHaan ,فرحان,emotions__and__personality_traits
delighted ,masruur ,مسرور ,emotions__and__personality_traits
cheerful ,mariH ,مرح ,emotions__and__personality_traits
content,raaDi,راضي,emotions__and__personality_traits
very happy/pleased,munsagim,منسجم,emotions__and__personality_traits
sad ,Haziin,حزين ,emotions__and__personality_traits
sad s,Hazaana ,حزانة ,emotions__and__personality_traits
depressed,mukta'ib,مكتئب,emotions__and__personality_traits
miserable,ta3iis,تعيس,emotions__and__personality_traits
miserables,tu3asaa',تعساء,emotions__and__personality_traits
miserable,miskiin,مسكين,emotions__and__personality_traits
miserables,masakiin,مساكين,emotions__and__personality_traits
comfortable,murtaaH,مرتاح,emotions__and__personality_traits
busy,mašġuul,مشغول,emotions__and__personality_traits
hopeful ,3ašmaan ,عشمان ,emotions__and__personality_traits
indifferent,miTanniš,مطنش,emotions__and__personality_traits
tense,mutawattar,متوتر,emotions__and__personality_traits
stressed,mašduud,مشدود,emotions__and__personality_traits
upset,za3laan,زعلان,emotions__and__personality_traits
to get upset,zi3il - yiz3al,زعل - يزعل,emotions__and__personality_traits
annoyed,mutaDaayiq,متضايق,emotions__and__personality_traits
to irritate s.o.,ġaaZ - yiġiiZ,غاظ - يغيظ,emotions__and__personality_traits
troublemaker,mušaaġib,مشاغب,emotions__and__personality_traits
frustrated,3andu iHbaaT,عنده احباط,emotions__and__personality_traits
fed up with,maxnuu' min,مخنوق,emotions__and__personality_traits
angry ,ġaaDib ,غاضب ,emotions__and__personality_traits
furious ,maf'uu3 min,مفقوع من,emotions__and__personality_traits
His blood boiled ,dammu itHara',دمه اتحرق,emotions__and__personality_traits
embarrassed,xajlaan,خجلان,emotions__and__personality_traits
bashful,xajuul,خجول,emotions__and__personality_traits
sensitive,Hassaas,حساس,emotions__and__personality_traits
quiet or calm,haadi',هادئ,emotions__and__personality_traits
lonely,waHiid,وحيد,emotions__and__personality_traits
loneliness,wiHda,وحدة,emotions__and__personality_traits
sociable,ijtimaa3i,اجتماعي,emotions__and__personality_traits
chatterbox ,raġġaay,رغاي,emotions__and__personality_traits
naughty,šaqi,شقي,emotions__and__personality_traits
naughties,ašqiyaa',اشقياء,emotions__and__personality_traits
reckless,mutahawwir,متهوّر,emotions__and__personality_traits
amazed,mundahiš,مندهش,emotions__and__personality_traits
astonished,mustaġrib,مستغرب,emotions__and__personality_traits
shocked,madhuul,مذهول,emotions__and__personality_traits
confused ,Haa'ir ,حائر ,emotions__and__personality_traits
hesitant,mutaraddid,متردّد,emotions__and__personality_traits
firm,Haazim,حازم,emotions__and__personality_traits
decisive,Haasim,حاسم,emotions__and__personality_traits
panic,du3r,ذعر,emotions__and__personality_traits
jealous ,ġayuur,غيور,emotions__and__personality_traits
jealous s,ġuyur ,غير ,emotions__and__personality_traits
envious ,Hasuud,حسود,emotions__and__personality_traits
envious s,Husud ,حسد,emotions__and__personality_traits
tired,mut3ab,متعب,emotions__and__personality_traits
sleepy,na3saan,نعسان,emotions__and__personality_traits
stubborn,3aniid,عنيد,emotions__and__personality_traits
stubborns,3unud,عند,emotions__and__personality_traits
hard-headed,raasu našfa,راسه ناشفة,emotions__and__personality_traits
greedy,Tammaa3,طماع,emotions__and__personality_traits
gluttonous,faj3aan,فجعان,emotions__and__personality_traits
selfish,anaani,أناني,emotions__and__personality_traits
selfless,ġeiri,غيري,emotions__and__personality_traits
generous,kariim,كريم,emotions__and__personality_traits
generous,karaam,كرام,emotions__and__personality_traits
spendthrift,musrif,مسرف,emotions__and__personality_traits
stingy,baxiil,بخيل,emotions__and__personality_traits
frugal,muqtaSid,مقتصد,emotions__and__personality_traits
careful,HariiS,حريص,emotions__and__personality_traits
carefuls,HuraSa 3ala,حرصاء على,emotions__and__personality_traits
careless,muhmil,مهمل,emotions__and__personality_traits
affectionate ,Hanuun ,حنون,emotions__and__personality_traits
loving,muHibb,محبّ,emotions__and__personality_traits
kind,Tayyib ,طيّب ,emotions__and__personality_traits
kind,šafuuq,شفوق,emotions__and__personality_traits
kinds,šufa'a,شفقاء,emotions__and__personality_traits
kind,samH,سمح,emotions__and__personality_traits
nice,laTiif,لطيف,emotions__and__personality_traits
nices,liTaaf ,لطاف ,emotions__and__personality_traits
pleasant,Zariif,ظريف,emotions__and__personality_traits
pleasants,Zurafaa' ,ظرفاء ,emotions__and__personality_traits
tolerant,Haliim,حليم,emotions__and__personality_traits
tolerants,Hulamaa',حلماء,emotions__and__personality_traits
gentle,raqiiq,رقيق,emotions__and__personality_traits
gentles,ruqaaq,رقاق,emotions__and__personality_traits
polite,mu'addab,مؤدب,emotions__and__personality_traits
lazy,kusuul,كسول,emotions__and__personality_traits
hardworking,mujtahid,مجتهد,emotions__and__personality_traits
determined,muSammim,مصمم,emotions__and__personality_traits
alert,faa'iq,فائق,emotions__and__personality_traits
active,našiiT,نشيط,emotions__and__personality_traits
actives,nušaTaa',نشطاء,emotions__and__personality_traits
picky,miwaswis,موسوس,emotions__and__personality_traits
fussy,nimaki,نمكي,emotions__and__personality_traits
irritable,3aSabi,عصبي,emotions__and__personality_traits
brave,šujaa3,شجاع,emotions__and__personality_traits
braves,šug3aan,,emotions__and__personality_traits
bold,jari',جرئ,emotions__and__personality_traits
bolds,gura'a,,emotions__and__personality_traits
cowardly,jabaan,جبان,emotions__and__personality_traits
cowardlies,jubanaa',جبناء,emotions__and__personality_traits
curious,fuDuuli,فضولي,emotions__and__personality_traits
egotistical,maġruur,مغرور,emotions__and__personality_traits
conceited,'aliiT,قليط,emotions__and__personality_traits
pompous,mutakabbir,متكبّر,emotions__and__personality_traits
to make false boasts or claims,hagaS - yihguS ,هجص - يهجص ,emotions__and__personality_traits
humble,mutawaaDi3,متواضع,emotions__and__personality_traits
sensible,3aaqil,عاقل,emotions__and__personality_traits
sensibles,3uqalaa',عقلاء,emotions__and__personality_traits
insane,majnuun,مجنون,emotions__and__personality_traits
insanes,majaaniin,مجانين,emotions__and__personality_traits
crazy,mahwuus,مهووس,emotions__and__personality_traits
crazies,mahawiis,مهاويس,emotions__and__personality_traits
ignorant,jaahil,جاهل,emotions__and__personality_traits
ignorants,juhalaa',جهلاء,emotions__and__personality_traits
petty,haayif,هايف,emotions__and__personality_traits
stupid,saxiif,سخيف,emotions__and__personality_traits
stupids,suxafaa',سخفاء,emotions__and__personality_traits
stupid,ġabi,غبي,emotions__and__personality_traits
stupids,aġbiyaa',أغبياء,emotions__and__personality_traits
smart,daki,ذكي,emotions__and__personality_traits
smarts,adkiyaa',أذكياء,emotions__and__personality_traits
clever,šaaTir,شاطر,emotions__and__personality_traits
clevers,šaaTiruun,شاطرون,emotions__and__personality_traits
smart,nabiih,نبيه,emotions__and__personality_traits
smarts,nubahaa',نبهاء,emotions__and__personality_traits
clever,naaSiH,ناصح,emotions__and__personality_traits
clevers,nuSaHa,نصحاء,emotions__and__personality_traits
wise ,Hakiim,حكيم,emotions__and__personality_traits
wise s,Hukamaa' ,حكماء ,emotions__and__personality_traits
genius,3abqari,عبقري,emotions__and__personality_traits
geniuses,3abaaqira,عباقرة,emotions__and__personality_traits
noble,nabiil,نبيل,emotions__and__personality_traits
nobles,nubalaa',نبلاء,emotions__and__personality_traits
honorable,šariif,شريف,emotions__and__personality_traits
honorables,šurafaa',شرفاء,emotions__and__personality_traits
honest,amiin,أمين,emotions__and__personality_traits
honests,umanaa' ,أمناء ,emotions__and__personality_traits
truthful,Saadiq,صادق,emotions__and__personality_traits
honest,naziih,نزيه,emotions__and__personality_traits
honests,nuzahaa',نزهاء,emotions__and__personality_traits
straightfoward,doġri,دغري,emotions__and__personality_traits
liar,kaddaab,كذاب,emotions__and__personality_traits
treacherous,ġaddaar,غدار,emotions__and__personality_traits
swindler,naSSaab,نصاب,emotions__and__personality_traits
someone who tells tall tales,faššaar,فشار,emotions__and__personality_traits
cunning,makkaar,مكّار,emotions__and__personality_traits
cruel ,qaasin,قاس,emotions__and__personality_traits
cruel s,qusaah ,قساة ,emotions__and__personality_traits
sophisticated,midardaH,مدردح,emotions__and__personality_traits
naive,saadij,ساذج,emotions__and__personality_traits
naives,suddaaj,سذاج,emotions__and__personality_traits
optimistic,mutafaa'il,متفائل,emotions__and__personality_traits
pessimistic,mutašaa'im,متشائم,emotions__and__personality_traits
unique,fariid,فريد,emotions__and__personality_traits
fun to be around,dammu xafiif,دمه خفيف,emotions__and__personality_traits
funny,muDaHHik,مضحّك,emotions__and__personality_traits
dull,dammu ti'iil,دمه تقيل,emotions__and__personality_traits
tedious,baayix/dammu baayix,بايخ \ دمه بايخ,emotions__and__personality_traits
food,Ta3aam,طعام,food
foods,ma'kuulaat,مأكولات,food
meal,wajba,وجبة,food
meals,wajabaat,وجبات,food
delivery,tawSiil,توصيل,food
waiter,naadil,نادل,food
waiters,nudul,ندل,food
breakfast,faTuur,فطور,food
lunch,ġadaa',غداء,food
dinner,3ašaa',عشاء,food
recipe,waSfa,وصفة,food
recipes,waSafaat,وصفات,food
ingredient,miqdaar,مقدار,food
ingredients,maqaadiir,مقادير,food
can,3ulba,علبة,food
cans,3ulab,علب,food
jar,wi3aa',وعاء,food
jars,aw3iya,اوعية,food
box,Sunduuq,صندوق,food
boxes,Sanaadiiq,صناديق,food
hungry ,jaa'i3,جائع,food
hungry s,jiyaa3 ,جياع ,food
thirsty ,3aTšaan,عطشان,food
thirsty s,3iTaaš ,عطاش ,food
full ,šab3aan,شبعان,food
full s,šabaa3a,شباعى,food
slice,šariiHa,شريحة,food
slices,šaraa'iH,شرائح,food
piece,qitT3a,قطعة,food
pieces,qiTa3,قطع,food
drink,mašruub,مشروب,food
drinks,mašruubaat,مشروبات,food
juice,3aSiir,عصير,food
juices,3aSaa'ir,عصائر,food
water,maa',ماء,food
tea,šaay,شاي,food
coffee,qahwa,قهوة,food
milk,Haliib,حليب,food
alcohol,xamr,خمر,food
wine,nabiid,نبيذ,food
champagne,šampanya,شامبنية,food
beer,biira,بيرة,food
fruit,faakiha,فاكهة,food
fruits,fawaakih,فواكه,food
apple,tuffaaH,تفّاح,food
orange,burtuqaal,برتقال,food
banana,mooz,موز,food
lemon,laymuun,ليمون,food
lime,laymuun HaamiD,ليمون حامض,food
watermelon,baTTiix,بطّيخ,food
cantaloupe,baTTiix aSfar,بطّيخ أصفر,food
strawberry,farawla,فراولة,food
cherry,karaz,كرز,food
grape,3inab,عنب,food
raisin,zabiib,زبيب,food
pear,kummatra,كمثرى,food
peach,xoox,خوخ,food
plum,barquuq,برقوق,food
prune,barquuq naašif,برقوق ناشف,food
pomegranate,rummaan,رمّان,food
apricot,mišmiš,مشمش,food
guava,guwaafa,جوافة,food
dates ,balaH,بلح,food
dates ,tamr,تمر,food
pineapple,ananaas,اناناس,food
berry,tuut,توت,food
blueberry,tuut azraq,توت أزرق,food
mango,mango,مانجو,food
fig,tiin,تين,food
olive,zeituun,زيتون,food
popcorn,bušaar,بوشار,food
nuts,mikassaraat,مكسّرات,food
almonds,looz,لوز,food
hazelnuts,bunduq,بندق,food
peanuts,suudaani,سوداني,food
vegetables,xaDrawaat,خضراوات,food
carrot,jazar,جزر,food
cauliflower,qarnabiiT,قرنبيط,food
lettuce,xass,خسّ,food
cucumber,xiyaar,خيار,food
zucchini,kuusa,كوسا,food
cabbage,krumb,كرمب,food
peas,baazilaa',بازلاء,food
radish,fujl,فجل,food
radishes,fujuul,فجول,food
celery,karafs,كرفس,food
okra,baamiya,بامية,food
eggplant,badinjaan,باذنجان,food
artichoke,xuršuuf,خرشوف,food
artichokes,xaraašiif,خراشيف,food
spinach,sabaanix,سبانخ,food
potato,baTaaTa,بطاطا,food
potatoes,baTaaTis,بطاطس,food
tomato,TamaaTim,طماطم,food
onion,baSal,بصل,food
garlic,tuum,ثوم,food
clove,faSS,فص,food
cloves,fuSuuS,فصوص,food
corn,dura,ذرة,food
mushroom,fuTr,فطر,food
pumpkin,qar3a,قرعة,food
beans,fuul,فول,food
chickpeas,HummuS,حمص,food
lentils,3adas,عدس,food
soup,Hisaa',حساء,food
salad,salaTa,سلطة,food
meat,laHm,لحم,food
meats,luHuum,لحوم,food
poultry,Tuyuur,طيور,food
chicken,dajaaj,دجاج,food
shrimp,gambari,جمبري,food
crab,abu galambo,أبو جلمبو,food
lobster,karkand,كركند,food
clam,Halazuun Sadafi,حلزون صدفي,food
oyster,maHaar,محار,food
octopus,ixTabuuT,اخطبوط,food
bread,xubz,خبز,food
loaf of bread*,raġiif,رغيف,food
loaf of bread*s,arġifa,أرغفة,food
* Note that a رغيف refers to something different than what Americans would typically think of as a loaf of bread. A رغيف is a whole pita bread or عيش بلدي. Here's a photo of a boy carrying a bunch of أرغفة.,,,food
a long,3eiš fiinu,عيش فينو,food
a round bread roll ,3eiš kayzar,عيش كيزر,food
yeast,xamiira,خميرة,food
dough,3ajiin,عجين,food
cheese,jubn,جبن,food
butter,zubda,زبدة,food
jam,murabba,مربّى,food
yogurt,laban zabaadi,لبن زبادي,food
honey,3asal ,عسل ,food
molasses,3asal aswad,عسل اسود,food
rice,aruzz,أرزّ,food
pasta,makaruuna,مكرونة,food
egg,beiD,بيض,food
desserts,Helawiyaat,حلويات,food
ice cream,aayis kriim,آيس كريم,food
scoop,boola,بولة,food
cake,ka3k,كعك,food
gum,3ilk,علك,food
sugar,sukkar,سكّر,food
salt,milH,ملح,food
pepper,fulful,فلفل,food
oil,zeit,زيت,food
olive oil,zeit zeituun,زيت زيتون,food
vinegar,xall,خلّ,food
spices,bahaaraat,بهارات,food
flour,daqiiq,دقيق,food
wheat,qamH,قمح,food
oats,šuufaan,شوفان,food
barley,ša3iir,شعير,food
mint,na3naa3,نعناع,food
parsley,baqduunis,بقدونس,food
cinnamon,qirfa,قرفة,food
ginger,zanjabiil,زنجبيل,food
cumin,kammuun,كمون,food
turmeric,kurkum,كركم,food
coriander,kuzbara,كزبرة,food
cloves,qurunfil,قرنفل,food
saffron,za3faraan,زعفران,food
thyme,za3tar,زعتر,food
vegetarian,nabaati,نباتي,food
nutrition,ġidaa',غذاء,food
appetite,šahiyya,شهية,food
boiled,masluuq,مسلوق,food
fried,maqli,مقلي,food
grilled,šawiiy,شوي,food
roasted,muHammar,محمّر,food
stuffed,maHši,محشي,food
minced,mafruum,مفروم,food
crunchy,muqarmiš,مقرمش,food
raw,nii',نئ,food
delicious,ladiid,لذيذ,food
delicious,šahi,شهي,food
fresh,Taazaj,طازج,food
natural,Tabii3i,طبيعي,food
tender,layyin,ليّن,food
dry,naašif,ناشف,food
sweet,Helw,حلو,food
hot ,Haarr,حارّ,food
hot ,saaxin,ساخن,food
cold,baarid,بارد,food
taste,Ta3m,طعم,food
tastes,Tu3uum,طعوم,food
flavor,nakha,نكهة,food
bitter,murr,مرّ,food
sour,HaamiD,حامض,food
spoiled,faasid,فاسد,food
to go sour ,HimiD - yiHmaD ,حمض - يحمض ,food
rotten,muta3affin,متعفّن,food
burned,maHruuq,محروق,food
undercooked,mi3aggin,معجّن,food
north,šamaal,شمال,geography
south,januub,جنوب,geography
east,šarq,شرق,geography
west,ġarb,غرب,geography
direction,ittijaah,اتجاة,geography
left,yasaar,يسار,geography
right,yamiin,يمين,geography
behind,waraa',وراء,geography
in front of,amaam,أمام,geography
next to,bijaanib,بجانب,geography
above,fooqa,فوق,geography
below,taHt,تحت,geography
far ,ba3iid 3an,بعيد عن,geography
near ,qariib min,قريب من,geography
opposite,muqaabil,مقابل,geography
between,beina,بين,geography
inside,daaxil,داخل,geography
outside,xaarij,خارج,geography
here,huna,هنا,geography
there,hunaaka,هناك,geography
map,xariiTa,خريطة,geography
maps,xaraa'iT,خرائط,geography
compass,boSla,بوصلة,geography
distance,masaafa,مسافة,geography
area,misaaHa,مساحة,geography
width,3arD,عرض,geography
height,irtifaa3,ارتفاع,geography
length,Tuul,طول,geography
place; location,makaan,مكان,geography
place; locations,amaakin,أماكن,geography
location,mawqi3,موقع,geography
locations,mawaaqi3,مواقع,geography
capital,3aaSima,عاصمة,geography
capitals,3awaaSim,عواصم,geography
suburb,DaaHiya,ضاحية,geography
suburbs,DawaaHin,ضواح,geography
village,qarya,قرية,geography
villages,qura,قرى,geography
district,Hayy,حيّ,geography
districts,aHyaa',أحياء,geography
governorate,muHaafaZa,محافظة,geography
region,minTaqa,منطقة,geography
regions,manaaTiq,مناطق,geography
region,iqliim,اقليم,geography
regions,aqaaliim,أقاليم,geography
country,balad ,بلد,geography
countries,bilaad,بلاد,geography
homeland,waTan,وطن,geography
homelands,awTaan,أوطان,geography
Europe,urubba,أوروبا,geography
Africa,afriiqiya,أفريقيا,geography
Asia,aasiya,أسيا,geography
Australia,usturaaliya,أستراليا,geography
the United States,amriika,أمريكا,geography
England,inglitira,انجلترا,geography
Austria,nimsa,نمسا,geography
Germany,almaaniya,ألمانيا,geography
Greece,yuunaan,يونان,geography
Japan,yaabaan,يابان,geography
North Africa,šamaal afriiqiya,شمال أفريقيا,geography
Egypt,miSr,مصر,geography
Aswan,aswaan,أسوان,geography
Sinai,siinaa',سيناء,geography
Fez,faas,فاس,geography
Marrakesh,marraakeš,مراكش,geography
Oran,wahraan,وهران,geography
Tunisia,tuunis,تونس,geography
Tunis,tuunis,تونس,geography
Libya,liibiyaa,ليبيا,geography
Tripoli,Taraabulus,طرابلس,geography
Benghazi,benġaazi,بنغازي,geography
Amman,3ammaan,عمّان,geography
Palestine,filasTiin,فلسطين,geography
Gaza Strip,qiTaa3 ġazza,قطاع غزة,geography
Bethlehem,beitalaHm,بيت لحم,geography
Jericho,ariiHa,أريحا,geography
Jaffa,yaafa,يافة,geography
Israel,israa'iil,إسرائيل,geography
Lebanon,lubnaan ,لبنان,geography
Beirut,beiruut,بيروت,geography
Syria,suuriya,سوريا,geography
Damascus,dimašq,دمشق,geography
Baghdad,baġdaad,بغداد,geography
Qatar,qaTar,قطر,geography
Abu Dhabi,abu Zabi ,أبو ظبي,geography
Dubai,dubayy,دبيّ,geography
Oman,3umaan,عمان,geography
Muscat,masqaT,مسقط,geography
Sana'a,San3aa',صنعاء,geography
government,Hukuuma,حكومة,government_and_politics
governments,Hukuumaat,حكومات,government_and_politics
political,siyaasi,سياسي,government_and_politics
party,Hizb,حزب,government_and_politics
parties,aHzaab,أحزاب,government_and_politics
movement,Haraka,حركة,government_and_politics
movements,Harakaat,حركات,government_and_politics
faction,faSiila,فصيلة,government_and_politics
factions,faSaa'il,فصائل,government_and_politics
bloc,kutla,كتلة,government_and_politics
blocs,kutal,كتل,government_and_politics
liberal,liibiraali,ليبرالي,government_and_politics
conservative,muHaafiZ,محافظ,government_and_politics
neo-conservative,muHaafiZ jadiid,محافظ جديد,government_and_politics
country,dawla,دولة,government_and_politics
countries,duwal,دول,government_and_politics
nation,waTan,وطن,government_and_politics
nations,awTaan,أوطان,government_and_politics
citizen,muwaaTin,مواطن,government_and_politics
citizens,muwaaTinuun,مواطنون,government_and_politics
immigrant,muhaajir,مهاجر,government_and_politics
immigrants,muhaajiruun,مهاجرون,government_and_politics
population,3adad sukkaan,عدد سكان,government_and_politics
democracy,diimoqraaTiyya,ديموقراطية,government_and_politics
republic,jumhuuriyya,جمهورية,government_and_politics
kingdom,mamlaka,مملكة,government_and_politics
kingdoms,mamaalik,ممالك,government_and_politics
empire,imbraaTuuriyya,امبراطورية,government_and_politics
empires,imbraaTuuriyyaat,امبراطوريات,government_and_politics
mandate,intidaab,انتداب,government_and_politics
colony,musta3mara,مستعمرة,government_and_politics
colonies,musta3maraat,مستعمرات,government_and_politics
dictatorship,diiktaatoriyya,ديكتاتورية,government_and_politics
totalitarianism,šumuuliyya,شمولية,government_and_politics
fascism,faašiyya,فاشية,government_and_politics
communism,šuyuu3iyya,شيوعية,government_and_politics
socialism,ištiraakiyya,اشتراكية,government_and_politics
capitalism,ra'smaaliyya,رأسمالية,government_and_politics
anarchism,fawDawiyya,فوضوية,government_and_politics
patriotism,waTaniyya,وطنية,government_and_politics
nationalism,qawmiyya,قومية,government_and_politics
federal government,Hukuuma ittiHaadiyya,حكومة اتحادية,government_and_politics
coalition government,Hukuuma i'tilaafiyya,حكومة ائتلافية,government_and_politics
authority,sulTa,سلطة,government_and_politics
authorities,sulaTaat,سلطات,government_and_politics
legislative,tašrii3i,تشريعي,government_and_politics
executive,tanfiidi,تنفيذي,government_and_politics
judicial,qaDaa'i,قضائي,government_and_politics
constitution,dustuur,دستور,government_and_politics
constitutions,dasaatiir,دساتير,government_and_politics
amendment,ta3diil,تعديل,government_and_politics
amendments,ta3diilaat,تعديلات,government_and_politics
veto,naqD,نقض,government_and_politics
position,manSib,منصب,government_and_politics
positions,manaaSib,مناصب,government_and_politics
president; chairman,ra'iis,رئيس,government_and_politics
president; chairmen,ru'asaa',رؤساء,government_and_politics
governor; ruler,Haakim,حاكم,government_and_politics
governor; rulers,Hukkaam,حكام,government_and_politics
mayor,3umda,عمدة,government_and_politics
mayors,3umad,عمد,government_and_politics
monarch,3aahil,عاهل,government_and_politics
monarches,3awaahil,عواهل,government_and_politics
king,malik,ملك,government_and_politics
kings,muluuk,ملوك,government_and_politics
prince,amiir,أمير,government_and_politics
princes,umaraa',أمراء,government_and_politics
His Majesty,jalaalatuhu,جلالته,government_and_politics
tyrant,mustabidd,مستبدّ,government_and_politics
despot,Taaġiyya,طاغية,government_and_politics
ambassador,safiir,سفير,government_and_politics
ambassadors,sufaraa',سفراء,government_and_politics
minister,waziir,وزير,government_and_politics
ministers,wuzaraa',وزراء,government_and_politics
deputy,naa'ib,نائب,government_and_politics
deputies,nuwwaab,نواب,government_and_politics
member,3uDw,عضو,government_and_politics
members,a3Daa',أعضاء,government_and_politics
official,mas'uul,مسؤول,government_and_politics
officials,mas'uuluun,مسؤولون,government_and_politics
representative,mumattil,ممثل,government_and_politics
representatives,mumattiluun,ممثلون,government_and_politics
spokesman,mutaHaddit bism,متحدث باسم,government_and_politics
delegate,mab3uut,مبعوث,government_and_politics
delegates,mab3uutuun,مبعوثون,government_and_politics
deputy,wakiil,وكيل,government_and_politics
deputies,wukalaa',وكلاء,government_and_politics
councillor,mustašaar,مستشار,government_and_politics
councillors,mustašaaruun,مستشارون,government_and_politics
leader,za3iim,زعيم,government_and_politics
leaders,zu3amaa',زعماء,government_and_politics
embassy,safaara,سفارة,government_and_politics
embassies,safaaraat,سفارات,government_and_politics
committee,lajna,لجنة,government_and_politics
committees,lijaan,لجان,government_and_politics
delegation,wafd,وفد,government_and_politics
delegations,wufuud,وفود,government_and_politics
council,majlis,مجلس,government_and_politics
councils,majaalis,مجالس,government_and_politics
parliament,barlamaan,برلمان,government_and_politics
agency,wakaala,وكالة,government_and_politics
agencies,wakaalaat,وكالات,government_and_politics
institution,mu'assasa,مؤسسة,government_and_politics
institutions,mu'assasaat,مؤسسات,government_and_politics
organization,munaZZama,منظمة,government_and_politics
organizations,munaZZamaat,منظمات,government_and_politics
group,jamaa3a,جماعة,government_and_politics
groups,jamaa3aat,جماعات,government_and_politics
resolution ,qaraar,قرار,government_and_politics
resolution s,qaraaraat,قرارات,government_and_politics
session,jalsa,جلسة,government_and_politics
sessions,jalasaat,جلسات,government_and_politics
Doctors Without Borders,munaZZamat aTibaa' bilaa Huduud,منظمة أطباء بلا حدود,government_and_politics
Hezbollah,Hizb allaah,حزب الله,government_and_politics
administration,idaara,ادارة,government_and_politics
administrations,idaaraat,ادارات,government_and_politics
govt. agency or authority,hei'a,هيئة,government_and_politics
govt. agency or authorities,hei'aat Hukuumiyya,هيئات حكومية,government_and_politics
intelligence,muxaabaraat,مخابرات,government_and_politics
ministry,wizaara,وزارة,government_and_politics
ministries,wizaaraat,وزارات,government_and_politics
election,intixaab,انتخاب,government_and_politics
elections,intixaabaat,انتخابات,government_and_politics
campaign,Hamla,حملة,government_and_politics
campaigns,Hamalaat,حملات,government_and_politics
candidate,muraššaH,مرشح,government_and_politics
candidates,muraššaHHuun,مرشحون,government_and_politics
competitor,munaafis,منافس,government_and_politics
competitors,munaafisuun,منافسون,government_and_politics
voter,naaxib,ناخب,government_and_politics
voters,naaxibuun,ناخبون,government_and_politics
clean,naziih,نزيه,government_and_politics
transparency,šaffaafiyya,شفافية,government_and_politics
contribution,musaahama,مساهمة,government_and_politics
contributions,musaahamaat,مساهمات,government_and_politics
referendum,istiftaa',استفتاء,government_and_politics
referendums,istiftaa'aat,استفتاءات,government_and_politics
propaganda,da3aaya,دعاية,government_and_politics
slogan,ša3aar,شعار,government_and_politics
slogans,ša3aaraat,شعارات,government_and_politics
empty slogan,ša3aar ajwaf,شعار أجوف,government_and_politics
debate,munaaZara,مناظرة,government_and_politics
debates,munaaZaraat,مناظرات,government_and_politics
vote ,Soot,صوت,government_and_politics
vote s,aSwaat,أصوات,government_and_politics
poll,istiTlaa3,استطلاع,government_and_politics
polls,istiTlaa3aat,استطلاعات,government_and_politics
opinion,ra'i,رأي,government_and_politics
opinions,aaraa',آراء,government_and_politics
statistics,iHSaa'aat,احصاءات,government_and_politics
