English,Egyptian Arabic,Transliteration
cowardly,جبان,gabaan
cowardlies,جبناء,gubana
curious,فضولي,fuDuuli
egotistical,مغرور,maġruur
conceited,قليط,'aliiT
pompous,متكبّر,mutakabbir
to make false boasts or claims,هجص - يهجص ,hagaS - yihguS 
to show off,اتمنظر - يتمنظر  على,itmanZar
 - yitmanZar  3ala
humble,متواضع,mitwaaDi3
sensible,عاقل,3aa'il
sensibles,عقلاء,3u'ala
insane,مجنون,magnuun
insanes,مجانين,maganiin
crazy,مهووس,mahwuus
crazies,مهاويس,mahawiis
ignorant,جاهل,gaahil
ignorants,جهلاء,guhala
petty,هايف,haayif
stupid,سخيف,saxiif
stupids,سخفاء,suxafa
stupid,غبي,ġabi
stupids,أغبياء,aġbiya
smart,ذكي,zaki
smarts,أذكياء,azkiya
clever,شاطر,šaaTir
clevers,شاطرين,šaTriin
smart,نبيه,nabiih
smarts,نبهاء,nubaha
clever,ناصح,naaSiH
clevers,نصحاء,nuSaHa
wise ,حكيم,Hakiim
wise s,حكماء ,Hukama 
genius,عبقري,3abqari
geniuses,عباقرة,3abaqra
noble,نبيل,nabiil
nobles,نبلاء,nubala
honorable,شريف,šeriif
honorables,شرفاء,šurafa
honest,أمين,amiin
honests,أمناء ,umana 
truthful,صادق,Saadi'
honest,نزيه,naziih
honests,نزهاء,nuzaha
straightfoward,دغري,doġri
liar,كداب,kaddaab
treacherous,غدار,ġaddaar
swindler,نصاب,naSSaab
someone who tells tall tales,فشار,faššaar
cunning,مكّار,makkaar
cruel ,قاس,'aasi 
cruel s,قساة ,qusaah 
sophisticated,مدردح,midardaH
naive,ساذج,saazig
naives,سذاج,suzzaag
optimistic,متفائل,mitfaa'il
pessimistic,متشائم,mitšaa'im
unique,فريد,fariid
fun to be around,دمه خفيف,dammu xafiif
funny,بيضحّك الناس,biDaHHik 
in-naas
dull,دمه تقيل,dammu ti'iil
tedious,بايخ \ دمه بايخ,baayix/dammu baayix
food,اكل,akl
foods,مأكولات,ma'kulaat
meal,اكلة,akla
meals,اكلات,akalaat
delivery,توصيل,tawSiil
restaurant,مطعم,maT3am
restaurants,مطاعم,maTaa3im
waiter,متر | جرسون,metre | garsoon
waiters,ندل,nudul
breakfast,فطار,fiTaar
lunch,غدا,ġada
dinner,عشا,3aša
recipe,وصفة,waSfa
recipes,وصفات,waSafaat
ingredient,محتويات,muHtawiyaat
ingredients,مقادير,maqaadiir
can,علبة,3elba
cans,علب,3ilab
jar,برطمان,barTamaan
jars,برطمانات,barTamaanaat
box,صندوق,Sunduu'
boxes,صناديق,Sanadii'
hungry ,جعان ,ga3aan 
hungry s,جياع ,jiyaa3 
thirsty ,عطشان,3aTšaan
thirsty s,عطاش ,3iTaaš 
full ,شبعان,šab3aan
full s,شباعى,šabaa3a
slice,خرطة,xarTa
slices,خرط,xuraT
piece,حتّة,Hetta
pieces,حتت,Hetat
drink,مشروب,mašruub
drinks,مشروبات,mašruubaat
juice,عصير,3aSiir
juices,عصائر,3aSaayir
water,ميّة,mayya
tea,شاي,šaay
coffee,قهوة,'ahwa
milk,لبن,laban
alcohol,خمر,xamr
wine,نبيت,nibiit
champagne,شامبنية,šampanya
beer,بيرة,biira
fruit,فاكهة,fakha
fruits,فواكه,fawaakih
apple,تفّاح,tuffaaH
orange,برتقان,burtu'aan
banana,موز,mooz
lemon,لمون,lamuun
lime,لمون,lamuun
watermelon,بطّيخ,baTTiix
cantaloupe,شمّام,šammaam
strawberry,فراولة,farawla
cherry,كريز,kireiz
grape,عنب,3inab
raisin,زبيب,zibiib
pear,كمترى,kommetra
peach,خوخ,xoox
plum,برقوق,bar'uu'
prune,برقوق ناشف,bar'uu' naashif
pomegranate,رمّان,rummaan
apricot,مشمش,mišmiš
guava,جوافة,guwaafa
dates ,بلح,balaH
dates ,تمر,tamr
pineapple,اناناس,ananaas
berry,توت,tuut
blueberry,توت أزرق,tuut azra'
mango,مانجة,manga
fig,تين,tiin
olive,زتون,zatuun
popcorn,فشار,fišaar
nuts,مكسّرات,mikassaraat
almonds,لوز,looz
hazelnuts,بندق,bondo'
peanuts,سوداني,sudaani
vegetables,خضروات | خضار,xuDrawaat | xuDaar
carrot,جزر,gazar
cauliflower,قرنبيط,'arnabiiT
lettuce,خسّ,xass
cucumber,خيار,xiyaar
zucchini,كوسا,koosa
cabbage,كرمب,kurumb
peas,بسلة,bisilla
radish,فجل,figl
radishes,فجول,fujuul
celery,كرفس,karafs
okra,بامية,bamya
eggplant,بدنجان,bidingaan
artichoke,خرشوف,xaršuuf
artichokes,خراشيف,xaraašiif
spinach,سبانخ,sabaanix
potato,بطاطس,baTaaTis
potatoes,بطاطس,baTaaTis
tomato,طماطم,TamaaTim
onion,بصل,baSal
garlic,توم,toom
clove,فص,faSS
cloves,فصوص,fuSuuS
corn,درة,dura
mushroom,شمبنيون,šampinyoon
pumpkin,عرق عسلي,3ar' 3asali
beans,فول,fuul
chickpeas,حمص,HommoS
lentils,عدس,3ads
soup,شربة,šurba
salad,سلطة,salaTa
meat,لحمة,laHma
meats,لحوم,luHuum
poultry,ظفر,Zafar
chicken,فراخ,firaax
turkey,ديك رومي,diik ruumi
fish,سمك,samak
shrimp,جمبري,gambari
crab,كابوريا,kaburiya
lobster,استاكوزا,istakooza
clam,جندوفلي,gandofli
oyster,محار,maHaar
octopus,اخطبوط,uxTabuuT
bread,عيش,3eiš
loaf of bread*,رغيف,raġiif
loaf of bread*s,أرغفة,arġifa
* Note that a رغيف refers to something different than what Americans would typically think of as a loaf of bread. A رغيف is a whole pita bread or عيش بلدي. Here's a photo of a boy carrying a bunch of أرغفة.,,
a long,عيش فينو,3eiš fiinu
a round bread roll ,عيش كيزر,3eiš kayzar
yeast,خميرة,xamiira
dough,عجين,3agiin
cheese,جبنة,gibna
butter,زبدة,zibda
jam,مربّى,mirabba
yogurt,زبادي,zabaadi
honey,عسل ,3asal 
molasses,عسل اسود,3asal iswid
rice,رزّ,ruzz
pasta,مكرونة,makaroona
egg,بيض,beiD
desserts,حلويات,Helawiyaat
ice cream,آيس كريم,aayis kriim
scoop,بولة,boola
cake,جاتيه,gatooh
gum,لبان,libaan
sugar,سكّر,sukkar
salt,ملح,malH
pepper,فلفل,filfil
oil,زيت,zeit
olive oil,زيت زيتون,zeit zeituun
vinegar,خلّ,xall
spices,بهرات,buharaat
flour,دقيق,di'ii'
wheat,قمح,'amH
oats,شوفان,šufaan
barley,شعير,ša3iir
mint,نعناع,ni3naa3
parsley,بقدونس,ba'duunis
cinnamon,قرفة,'irfa
ginger,جنزبيل,ganzabiil
cumin,كمون,kammuun
turmeric,كركم,kurkum
coriander,كزبرة,kuzbara
cloves,قرنفل,'oronfil
saffron,زعفران,za3faraan
thyme,زعتر,za3tar
vegetarian,نباتي,nabaati
nutrition,غذاء,ġiza
appetite,نفس للأكل,nifs lil-akl
boiled,مسلوق,masluu'
fried,مقلي,ma'li
grilled,مشوي,mešwi
roasted,رستو,rosto
stuffed,محشي,maHši
minced,مفروم,mafruum
crunchy,مقرمش,mi'armiš
raw,نيّ,nayy
delicious,لذيذ,laziiz
delicious,شهي,šahi
fresh,طازة,Taaza
natural,طبيعي,Tabii3i
tender,طري,Tari
dry,ناشف,naašif
sweet,حلو,Helw
hot ,حامي | حرّاق | مشطّة,Haami | Harraa' | mešaTTa
hot ,سخن,suxn
cold,بارد,baarid
taste,طعم,Ta3m
tastes,طعوم,Tu3uum
flavor,نكهة,nakha
bitter,مرّ,murr
sour,مزز,miziz
spoiled,خسران,xasraan
to go sour ,حمض - يحمض ,HimiD - yiHmaD 
rotten,معفّن,mi3affin
burned,محروق,maHruu'
undercooked,معجّن,mi3aggin
north,شمال,šamaal
south,جنوب,ganuub
east,شرق,šar'
west,غرب,ġarb
direction,اتجاة,ittigaah
left,شمال,šimaal
right,يمين,yimiin
behind,ورا,wara
in front of,قدّام,'uddaam
next to,جنب,gamb
above,فوق,foo'
below,تحت,taHt
far ,بعيد عن,ba3iid 3an
near ,قريب من,'ariib/'urayyib min
opposite,قصاد,'uSaad
between,بين,bein
inside,جوة,guwwa
outside,برّة,barra
here,هنا,hina
there,هناك,hinaak
map,خريطة,xariiTa
maps,خرائط,xaraayiT
compass,بوصلة,boSla
distance,مسافة,masaafa
area,مساحة,misaaHa
width,عرض,3arD
height,ارتفاع,irtifaa3
length,طول,Tuul
place; location,مكان,makaan
place; locations,أماكن,amaakin
location,موقع,mawqi3
locations,مواقع,mawaaqi3
capital,عاصمة,3aaSima
capitals,عواصم,3awaaSim
suburb,ضاحية,DaHya
suburbs,ضواحي,DawaaHi
village,قرية,qarya
villages,قرى,qura
district,حيّ,Hayy
districts,أحياء,aHyaa'
governorate,محافظة,muHaafaZa
region,منطقة,minTa'a
regions,مناطق,manaaTi'
region,اقليم,iqliim
regions,أقاليم,aqaaliim
country,بلد,balad 
countries,بلاد,bilaad
homeland,وطن,waTan
homelands,أوطان,awTaan
Europe,أوروبا,uruppa
Africa,أفريقيا,afriqya
Asia,أسيا,asya
Australia,أستراليا,usturalya
the United States,أمريكا,amriika
England,انجلترا,inglitira
Austria,نمسا,nimsa
Germany,ألمانيا,almanya
Greece,يونان,yunaan
Japan,يابان,yabaan
North Africa,شمال أفريقيا,šamaal afriqya
Egypt,مصر,maSr
Aswan,أسوان,aswaan
Sinai,سيناء,siina
Fez,فاس,faas
Marrakesh,مراكش,marraakeš
Oran,وهران,wahraan
Tunisia,تونس,tuunis
Tunis,تونس,tuunis
Libya,ليبيا,liibiyaa
Tripoli,طرابلس,Taraabulus
Benghazi,بنغازي,benġaazi
Amman,عمّان,3ammaan
Palestine,فلسطين,filisTiin
Gaza Strip,قطاع غزة,qiTaa3 ġazza
Bethlehem,بيت لحم,beitalaHm
Jericho,أريحا,ariiHa
Jaffa,يافة,yaafa
Israel,إسرائيل,isra'iil
Lebanon,لبنان,libnaan
Beirut,بيروت,beiruut
Syria,سوريا,surya
Damascus,دمشق,dimaš' | dimiš'
Baghdad,بغداد,baġdaad
Qatar,قطر,qaTar
Abu Dhabi,أبو ظبي,abu Zabi 
Dubai,دبيّ,dubayy
Oman,عمان,3umaan
Muscat,مسقط,masqaT
Sana'a,صنعاء,San3a
government,حكومة,Hukuuma
governments,حكومات,Hukuumaat
political,سياسي,siyaasi
party,حزب,Hizb
parties,أحزاب,aHzaab
movement,حركة,Haraka
movements,حركات,Harakaat
faction,فصيلة,faSiila
factions,فصائل,faSaa'il
bloc,كتلة,kutla
blocs,كتل,kutal
liberal,ليبرالي,liibiraali
conservative,محافظ,muHaafiZ
neo-conservative,محافظ جديد,muHaafiZ jadiid
country,دولة,dawla
countries,دول,duwal
nation,وطن,waTan
nations,أوطان,awTaan
citizen,مواطن,muwaaTin
citizens,مواطنون,muwaaTinuun
immigrant,مهاجر,muhaajir
immigrants,مهاجرون,muhaajiruun
population,عدد سكان,3adad sukkaan
democracy,ديموقراطية,diimoqraaTiyya
republic,جمهورية,jumhuuriyya
kingdom,مملكة,mamlaka
kingdoms,ممالك,mamaalik
empire,امبراطورية,imbraaTuuriyya
empires,امبراطوريات,imbraaTuuriyyaat
mandate,انتداب,intidaab
colony,مستعمرة,musta3mara
colonies,مستعمرات,musta3maraat
dictatorship,ديكتاتورية,diiktaatoriyya
totalitarianism,شمولية,šumuuliyya
fascism,فاشية,faašiyya
communism,شيوعية,šuyuu3iyya
socialism,اشتراكية,ištiraakiyya
capitalism,رأسمالية,ra'smaaliyya
anarchism,فوضوية,fawDawiyya
patriotism,وطنية,waTaniyya
nationalism,قومية,qawmiyya
federal government,حكومة اتحادية,Hukuuma ittiHaadiyya
coalition government,حكومة ائتلافية,Hukuuma i'tilaafiyya
authority,سلطة,sulTa
authorities,سلطات,sulaTaat
legislative,تشريعي,tašrii3i
executive,تنفيذي,tanfiidi
judicial,قضائي,qaDaa'i
constitution,دستور,dustuur
constitutions,دساتير,dasaatiir
amendment,تعديل,ta3diil
amendments,تعديلات,ta3diilaat
veto,نقض,naqD
position,منصب,manSib
positions,مناصب,manaaSib
president; chairman,رئيس,ra'iis
president; chairmen,رؤساء,ru'asaa'
governor; ruler,حاكم,Haakim
governor; rulers,حكام,Hukkaam
mayor,عمدة,3umda
mayors,عمد,3umad
monarch,عاهل,3aahil
monarches,عواهل,3awaahil
king,ملك,malik
kings,ملوك,muluuk
prince,أمير,amiir
princes,أمراء,umaraa'
His Majesty,جلالته,jalaalatuhu
tyrant,مستبدّ,mustabidd
despot,طاغية,Taaġiyya
ambassador,سفير,safiir
ambassadors,سفراء,sufaraa'
minister,وزير,waziir
ministers,وزراء,wuzaraa'
deputy,نائب,naa'ib
deputies,نواب,nuwwaab
member,عضو,3uDw
members,أعضاء,a3Daa'
official,مسؤول,mas'uul
officials,مسؤولون,mas'uuluun
representative,ممثل,mumattil
representatives,ممثلون,mumattiluun
spokesman,متحدث باسم,mutaHaddit bism
delegate,مبعوث,mab3uut
delegates,مبعوثون,mab3uutuun
deputy,وكيل,wakiil
deputies,وكلاء,wukalaa'
councillor,مستشار,mustašaar
councillors,مستشارون,mustašaaruun
leader,زعيم,za3iim
leaders,زعماء,zu3amaa'
embassy,سفارة,safaara
embassies,سفارات,safaaraat
committee,لجنة,lajna
committees,لجان,lijaan
delegation,وفد,wafd
delegations,وفود,wufuud
council,مجلس,majlis
councils,مجالس,majaalis
parliament,برلمان,barlamaan
agency,وكالة,wakaala
agencies,وكالات,wakaalaat
institution,مؤسسة,mu'assasa
institutions,مؤسسات,mu'assasaat
organization,منظمة,munaZZama
organizations,منظمات,munaZZamaat
group,جماعة,jamaa3a
groups,جماعات,jamaa3aat
resolution ,قرار,qaraar
resolution s,قرارات,qaraaraat
session,جلسة,jalsa
sessions,جلسات,jalasaat
Doctors Without Borders,منظمة أطباء بلا حدود,munaZZamat aTibaa' bilaa Huduud
Hezbollah,حزب الله,Hizb allaah
administration,ادارة,idaara
administrations,ادارات,idaaraat
govt. agency or authority,هيئة,hei'a
govt. agency or authorities,هيئات حكومية,hei'aat Hukuumiyya
intelligence,مخابرات,muxaabaraat
ministry,وزارة,wizaara
ministries,وزارات,wizaaraat
election,انتخاب,intixaab
elections,انتخابات,intixaabaat
campaign,حملة,Hamla
campaigns,حملات,Hamalaat
candidate,مرشح,muraššaH
candidates,مرشحون,muraššaHHuun
competitor,منافس,munaafis
competitors,منافسون,munaafisuun
voter,ناخب,naaxib
voters,ناخبون,naaxibuun
clean,نزيه,naziih
transparency,شفافية,šaffaafiyya
contribution,مساهمة,musaahama
contributions,مساهمات,musaahamaat
referendum,استفتاء,istiftaa'
referendums,استفتاءات,istiftaa'aat
propaganda,دعاية,da3aaya
slogan,شعار,ša3aar
slogans,شعارات,ša3aaraat
empty slogan,شعار أجوف,ša3aar ajwaf
debate,مناظرة,munaaZara
debates,مناظرات,munaaZaraat
vote ,صوت,Soot
vote s,أصوات,aSwaat
poll,استطلاع,istiTlaa3
polls,استطلاعات,istiTlaa3aat
opinion,رأي,ra'i
opinions,آراء,aaraa'
analysis,تحليل,taHliil
statistics,احصاءات,iHSaa'aat
result,نتيجة,natiija
results,نتائج,nataa'ij
half,نصف,naSf
percentage,نسبة,nisba
percentages,نسب,nisab
majority,أغلبية | أكثرية,aġlabiyya/aktariyya
with ,مع,ma3a
against,ضد,Didd
issue,قضية,qaDiyya
issues,قضايا,qaDaaya
affair,شأن,ša'n
affairs,شؤون,šu'uun
law,قانون,qaanuun
laws,قوانين,qawaaniin
policy,سياسة,siyaasa
policies,سياسات,siyaasaat
restrictions ,قيود على,quyuud 3ala
reform,اصلاح,iSlaaH
reforms,اصلاحات,iSlaaHaat
controversy ,جدل حول,jadal Hawla
scandal,فضيحة,faDiiHa
scandals,فضائح,faDaa'iH
negligence,اهمال,ihmaal
theft,سرقة,sariqa
swindling,نصب,naSb
bribery,ارتشاء | رشوة,irtišaa'/rašwa
embezzlement,اختلاس,ixtilaas
fraud,احتيال,iHtiyaal
blackmail,ابتزاز,ibtizaaz
favoritism,محاباة,muHaabaah
nepotism,محسوبية,maHsuubiyya
connections,واسطة,waasTa
security,أمن,amn
safety,سلامة,salaama
peace,سلام,salaam
stability,استقرار,istiqraar
protection,حماية,Himaaya
unity,وحدة,waHda
equality,مساواة,musaawaah
independence,استقلال,istiqlaal
sovereignty,سيادة,siyaada
justice,عدل/عدالة,3adl/3adaala
tolerance,تسامح,tasaamuH
coexistence,تعايش,ta3aayuš
pluralism,تعدد/تعددية,ta3addud
diversity,تنوّع,tanawwu3
freedom,حرية,Hurriyya
dignity,كرامة,karaama
conscience,ضمير,Damiir
principle,مبدأ,mabda'
principles,مبادئ,mabaadi'
morals,أخلاق    خلق,axlaaq  xulq
standard,معيار,mi3yaar
standards,معايير,ma3aayiir
right,حق,Haqq
rights,حقوق,Huquuq
oppression,ظلم,Zulm
persecution,اضطهاد,iDTihaad
repression,قمع,qam3
tyranny,استبداد,istibdaad
prejudice,تحيّز,taHayyuz
discrimination,تمييز,tamyiiz
racism,عنصرية,3unSuriyya
torture,تعذيب,ta3diib
massacre,مذبحة,madbaHa
massacres,مذابح,madaabiH
genocide,ابادة ,ibaada 
ethnic cleansing,تطهير عرقي,taThiir 3irqi
honor crime,جريمة,jariimat šaraf
honor crimes,جرائم شرف,jaraa'im šaraf
rape,اغتصاب,iġtiSaab
prostitution,دعارة,da3aara
slavery,عبودية,3ubuudiyya
body,جسم,gism
bodies,اجسام,agsaam
part,عضو,3uDw
parts,اعضاء,a3Daa'
gland,غدة,ġudda
glands,غدد,ġudad
skin,جلد,gild
skins,جلود,guluud
head,راس,raas
heads,روس,ruus 
skull,جمجمة,gumguma
skulls,جماجم,gamaagim
brain,مخ,muxx
brains,امخاخ,amxaax
hair,شَعر,ša3r
bangs,قصّة,'oSSa
straight ,ناعم,naa3im
curly,مجعد,mga33ad
wavy,متموج,mutamawwij
dry,جاف,gaaf
coarse,خشن,xišin
greasy,دهني,duhni
thick,سميك,samiik
thinning ,خفيف,xafiif
mustache,شنب,šanab
mustaches,شنبات | شنبة,šanabaat | šiniba
beard,دقن,da'n
beards,دقون,du'uun
bald,أصلع,aSla3
completely bald,زلبطّة,zalabaTTa
wig,باروكة,baruuka
dandruff,قشرة,'išra
face,وشّ,wišš
faces,وشوش,wišuuš
forehead,جبين,gibiin
foreheads,جبن,gubun
temple,صدغ,Sudġ
temples,اصداغ,aSdaaġ
cheek,خد,xudd
cheeks,خدود,xuduud
pimple,دمّل,dimmel
pimples,دوامل,dawaamil
acne,حب الشباب,Habb iš-šabaab
mole,حسنة,Hasana
moles,حسنات,Hasanaat
freckles,نمش,namaš
eye,عين,3ein
eyes,عيون,3uyuun 
eyebrow,حاجب,Haagib
eyebrows,حواجب العين,Hawaagib il-3ein
eyelid,جفن,gifn
eyelids,جفون,gufuun
eyelash,رمش,rimš
eyelashes,رموش,rumuuš
eyeball,مقلة,muqla
eyeballs,مقل العين,muqal al-3ein
pupil,ننّي,ninni
iris,سواد العين,sawaad il-3ein
lens,عدسة,3adasa
lens,عدسات العين,3adasaat al-3ein
cornea,قرنية,qarniya
ear,ودن,widn
ears,ودان,widaan
eardrum,طبلة الودن,Tablit il-widn
eardrums,طبلات | طبل الاذن,Tablaat | Tubal al-udun
nose,مناخير,manaxiir
noses,انوف,unuuf
nostril,منخار,minxaar
nostrils,مناخير,manaaxiir
mouth,بق,bo''
mouths,بقاق,bi'aa'
tonsils,لوزتين | لوز,loztein | liwaz
saliva,لعاب,lu3aab
lip,شفّة,šiffa
lips,شفايف,šafaayif
upper,علوي,3ulwii
lower,سفلي,suflii
tongue,لسان,lisaan
tongues,السنة,alsina
tooth,سنّة,sinna
teeth,سنان,sinaan
gums,لثة,lissa
chin,دقن,da'n
chins,دقون,du'uun
jaw,فك,fakk
jaws,فكوك,fukuuk
neck,رقبة,ra'aba
necks,رقاب,ri'aab
nape of the neck,قفة,'afa
nape of the necks,اقفية,aqfiya
throat,حنجرة,Hangara
throats,حناجر,Hanaagir 
esophagus,مرئ,mari'
esophaguses,امرائة  |  مروء,amri'a | muruu'
collarbone,ترقوة,tarquwa
collarbones,تراق,taraaq
shoulder,كتف,kitf
shoulders,اكتاف,aktaaf
chest,صدر,Sidr
chests,صدور,Suduur
bust,بزّ,bizz
busts,بزاز,bizaaz
nipple,حلمة,Halama
nipples,حلمات,Halamaat
arm,دراع,diraa3
arms,دراعات | درعة,diraa3aat | diri3a
armpit,باط,baaT
armpits,بطات,baTaat
elbow,كوع,kuu3
elbows,كعان,ki3aan
forearm,ساعد,saa3id
forearms,سواعد,sawaa3id
hand,يد,iid  idein
hands,ادين,eid
wrist,رسغ,rusġ
wrists,ارساغ,arsaaġ
finger/toe*,صباع,Subaa3
finger/toe*s,صوابع,Sawaabi3
thumb/big toe,ابهام,ibhaam
thumb/big toes,اباهيم,abaahiim
index finger,سبابة,sabbaaba
index fingers,سبابات,sabbaabaat
middle finger,وسطى,wusTa
middle fingers,وسط,wusaT
ring finger,بنصر,binSir
ring fingers,بناصر,banaaSir
pinky finger,خنصر,xinSir
pinky fingers,خناصر,xanaaSir
knuckle,مفصل,mafSal
knuckles,مفاصل,mafaaSil
palm,راحة,raaHat
palms,راحات اليد,raaHaat al-yad
fingernail/toenail,ضوفر,Doofr
fingernail/toenails,ضوافر,Dawaafir
fist,قبضة,qabDa
fists,قبضات اليد,qabaDaat al-yad
abdomen,بطن,baTn
abdomen,بطون,buTuun
stomach,معدة,mi3da/ma3ida
stomaches,معد,mi3ad
navel,سرة,surra
navels,سرر,surar
waist,وسط,wisT
waists,اوساط,awsaaT
hip,ردف,ridf
hips,ارداف,ardaaf
leg,رجل,rigl  riglein
legs,رجلين,arjul
thigh,فخد,faxd
thighs,فخاد,fixaad
knee,ركبة,rukba
knees,ركب,rukab
ankle,كاحل,kaaHil
ankles,كواحل,kawaaHil
anklebone,بزّ,bizz
anklebones,بزاز الرجل,bizaaz ir-rigl
heel,كعب,ka3b
heels,كعوب,ku3uub
foot,قدم,'adam
feet,اقدام,'a'daam
back,ضهر,Dahr
backs,ضهور,Duhuur
buttocks,ردفان,ridfaan
rear end,مؤخّرة,mo'axara
lung,رئه,ri'a  ri'atein
lungs,رئتين,ri'aat
heart,قلب,'alb
hearts,قلوب,'uluub
rib,ضلع,Dila3
ribs,ضلوع,Duluu3
liver,كبد,kibd
livers,اكباد,akbaad
kidney,كلوة,kilwa
kidneys,كلاوي,kalaawi
colon,قولون,quuluun
colons,قولونات,quuluunaat
pancreas,بنكرياس,bankriiaas
bladder,مسانة,masaana
bladders,مسانات,masaanaat
appendix,المصران القعور,il-muSraan il-'a3war
appendices,زوائد دودية,zawaa'id duudiya
blood,دمّ,damm
blood,دماء,dimaa'
artery,شريان,šuryaan
arteries,شريين,šarayiin
vein,عرق,3ir'
veins,عروق,3iruu'
jugular vein,وريد,wariid
jugular veins,ورد,wurud
muscle,عضلة,3aDala
muscles,عضلات,3aDalaat
bone,عضم,3aDm
bones,عضام,3iDaam
bone marrow,نخاع,nuxaa3
bone marrows,نخع العضم,nuxu3 al-3aDm
hearing,سمع,sam3
breath,نفس,nafas
breaths,أنفاس,anfaas
to tickle,زغزغ - يزغزغ ,zaġzaġ - yizaġzaġ 
hiccups,زغطة,zuġuTTa
to fart/break wind silently,فسي - يفسي ,fisi - yifsi 
a silent fart,فسى,fasya
a silent farts,فسيات,fasyaat
a loud fart,ظرطة,ZarTa
a loud farts,ظرطات,ZarTaat
fat,تخين,tixiin
thin,رفيع,rofayya3
tall,طويل,Tawiil
talls,طوال,Tuwaal
short,قصير,'oSayyar
shorts,قصار,'oSaar
beautiful ,جميل ,gamiil 
handsome,وسيم,wasiim
ugly,وحش,weHiš
uglies,وحشين,weHšiin
dye,صبغة,Sabġa
tattoo,وشم,wašm
tattoos,وشوم,wušuum
scar,ندبة,nadba
scars,أنداب,andaab
human,إنسان,insaan
human being; mankind,بشر,bašar
human being,بني آدم,bani aadam
people,ناس,naas
people ,شعب,ša3b
people s,شعوب,šu3uub
person,شخص,šaxS
people,أشخاص,ašxaaS
person (e.g. in a census,نسمة,nasama
person (e.g. in a censuses,نسمات,nasamaat
individual ,فرد,fard
individual s,أفراد,afraad
life,حياة,Hayaah
lives,حيوات,Hayawaat
young ,صغير,Suġayyar
young s,صغار,Suġaar
old,كبير,kibiir
olds,كبار السنّ,kobaar is-sinn
age,عمر,3omr
How old are you?,عندك كم سنة؟,3andak kam sana?
baby,بيبي,beibi
babies,بيبيهات,beibiihaat
child,طفل,Tifl
children,أطفال,aTfaal
boy or son,ولد,walad
boy or sons,أولاد,awlaad/wilaad
boy,صبي,Sabi
boys,صبيان,Subyaan
son,ابن,ibn
sons,أولاد | ولاد,awlaad/wilaad
girl or daughter,بنت,bint
girl or daughters,بنات,banaat
daughter,كريمة,kariima
daughters,كرائم,karaa'im
girl,صبية,Sabiyya
girls,صبايا,Sabaaya
kid,عيّل,3ayyil
kids,عيال,3iyaal
teenager,مراهق,muraahiq
young boy/man,فتى,fata
young boy/men,فتيان,fityaan
young girl/woman,فتاة,fataah
young girl/women,فتيات,fatayaat
young people,شباب,šabaab
young man,شاب,šabb
young men,شبان,šubbaan
young woman,شابة,šabba
young women,شابات,šabbaat
minor,قاصر,'aaSir
adult,بالغ,baaliġ
man,راجل,raagil
men,رجالة,riggaala
woman,ست,sitt
women,ستات,sittaat
sex or  race,جنس,gins
sex or  races,أجناس,agnaas
family,عيلة,3eila
families,عيلات,3eilaat
 family,أسرة,usra
 families,أسر,usar
family ,أهل,ahl
relative,قريب,'ariib
relatives,قرايب,'araayib
father,أب,abb
fathers,آباء,abaa'/abbahaat
dad,بابا,baaba
mother,أمّ,umm
mothers,أمهات,ummahaat
mom,ماما,maama
brother,أخ,ax
brothers,اخوة,ixwa
 brother,شقيق,ši'ii'
 brothers,أشقاء,šu'a'a
sister,أخت,uxt
sisters,اخوات,ixwaat
twin,تؤام,taw'am
twins,توائم,tawaa'im
orphan,يتيم,yatiim
orphans,يتامى,yutama
paternal uncle,عمّ,3amm
paternal uncles,عمام | أعمام,3imaam/a3maam
paternal aunt,عمّة,3amma
paternal aunts,عمّات,3ammaat
maternal uncle,خال,xaal
maternal uncles,أخوال | خلان,axwaal/xilaan
maternal aunt,خالة,xaala
maternal aunts,خالات,xaalaat
nephew/niece,ابن/بنت اخ/اخت,ibn/bint ax/uxt
grandfather,جدّ,gidd
grandfathers,جدود | أجداد,guduud/agdaad
grandpa,جدو,giddu
grandmother,جدة,gidda
grandmothers,جدات,giddaat
grandma,تيتا,teta
grandchild,حفيد,Hafiid
grandchildren,أحفاد,aHfaad
in-law,نسيب,nisiib
in-laws,نسايب,nasaayib
father-in-law,حماه,Hama
father-in-laws,احماء,aHmaa'
mother-in-law,حماة,Hama
mother-in-laws,حموات,Hamawaat
son-in-law,جوز بنت,gooz bint
son-in-laws,أصهار,aShaar
daughter-in-law,مراة ابن,miraat ibn
daughter-in-laws,كنائن,kanaa'in
brother-in-law ,سلف,silf
brother-in-law s,سلايف,salaayif
brother-in-law ,عديل,3adiil
brother-in-law s,عدايل,3adaayil
sister-in-law,سلفة,silfa
sister-in-laws,,salaayif
single,عازب,3aazib
marriage,جواز,gawaaz
wedding,فرح,faraH
weddings,أفراح,afraaH
* used by Christians in Egypt *,إكليل,ikliil
honeymoon,شهر عسل,šahr 3asal
dowry,مهر,mahr
dowries,مهور,muhuur
engaged,مخطوب,maxTuub
engagement,خطوبة,xuTuuba
* used by Christians in Egypt *,نص إكليل,noSS ikliil
to break an engagement,فسخ - يفسخ  خطوبة,fisix - yifsax  xuTuuba
bride,عروسة,3aruusa
brides,عرايس,3araayis
bridegroom,عريس,3ariis
bridegrooms,عرسان,3irsaan
husband,جوز,gooz
husbands,أجواز,agwaaz
wife,مراة,miraah
